no;fips;year;qtr;state;gdp;revenuepop;rev_state_total;rev_local_total;popestimate;qtrly_estabs_count;month1_emplvl;month2_emplvl;month3_emplvl;total_qtrly_wages;taxable_qtrly_wages;avg_wkly_wage;year_qtr;treated;gdpcapita;lngdp;lngdpcapita;revstatecapita;revlocalcapita;emplvl1capita;emplvl2capita;emplvl3capita;emplvlcapita;totalwagescapita;taxwagescapita;avgwklywagecapita;estabscapita;abb
1;1;1990;1;Alabama;71610;NA;NA;NA;4050055;86586;1571410;1572535;1581994;7832159837;0;382;1990;0;17681.24137;11.17899001;9.780259547;NA;NA;0.3879972;0.388274974;0.390610498;0.388960891;1933.840364;0;382;0.021378969;AL
2;1;1990;2;Alabama;72718.25;NA;NA;NA;4062330.25;86188;1599077;1610310;1618397;8107228382;0;388;1990.25;0;17900.62489;11.19434766;9.792590901;NA;NA;0.393635402;0.396400563;0.398391293;0.396142419;1995.708838;0;388;0.021216394;AL
3;1;1990;3;Alabama;73826.5;NA;NA;NA;4074605.5;86799;1599355;1604376;1611040;8102930357;0;388;1990.5;0;18118.68658;11.20947302;9.804699093;NA;NA;0.392517754;0.393750021;0.395385516;0.39388443;1988.641687;0;388;0.02130243;AL
4;1;1990;4;Alabama;74934.75;NA;NA;NA;4086880.75;87915;1612133;1614907;1615504;8725347965;0;416;1990.75;0;18335.43834;11.22437301;9.816590988;NA;NA;0.394465388;0.395144145;0.395290222;0.394966585;2134.965148;0;416;0.021511516;AL
5;1;1991;1;Alabama;76043;NA;NA;NA;4099156;91626;1581388;1580574;1590768;8165870493;0;396;1991;0;18550.89194;11.23905425;9.82827315;NA;NA;0.385783805;0.385585228;0.388072081;0.386480371;1992.085808;0;396;0.022352406;AL
6;1;1991;2;Alabama;77347.25;NA;NA;NA;4112870.5;91880;1598886;1607915;1611020;8424720751;0;404;1991.25;0;18806.14768;11.2560603;9.841939099;NA;NA;0.388751846;0.39094715;0.391702097;0.390467031;2048.379775;0;404;0.022339629;AL
7;1;1991;3;Alabama;78651.5;NA;NA;NA;4126585;93501;1602156;1608671;1618970;8491170122;0;406;1991.5;0;19059.70676;11.27278198;9.855331792;NA;NA;0.388252272;0.389831059;0.392326827;0.390136719;2057.674838;0;406;0.022658203;AL
8;1;1991;4;Alabama;79955.75;NA;NA;NA;4140299.5;93138;1624888;1626229;1628008;9137622565;0;432;1991.75;0;19311.58603;11.28922864;9.868460507;NA;NA;0.392456633;0.392780522;0.393210201;0.392815785;2206.995548;0;432;0.022495474;AL
9;1;1992;1;Alabama;81260;1443.286059;NA;NA;4154014;92864;1602304;1605548;1616322;8663062994;0;414;1992;0;19561.80215;11.30540917;9.881334074;NA;NA;0.385724266;0.386505197;0.389098833;0.387109432;2085.467934;0;414;0.022355245;AL
10;1;1992;2;Alabama;82085.75;1443.286059;NA;NA;4169061;93828;1630120;1640104;1643646;8868612807;0;416;1992.25;0;19689.26576;11.31551971;9.887828881;NA;NA;0.391004113;0.393398897;0.394248489;0.392883833;2127.244674;0;416;0.022505787;AL
